                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2102,                 3.3018,                 1.9614,                0.37268,                 0.2424,                0.18871,                0.07864,                 2.5229,                 4.8852,                 2.2704,             0.00023716,             0.00023716,             0.00023716
                      1,                 2.1587,                 2.5846,                 1.9344,                0.41693,                0.28573,                0.19419,                0.07636,                 2.5071,                  2.676,                 2.1728,             0.00047046,             0.00047046,             0.00047046
                      2,                 2.1479,                   2.54,                 1.9148,                0.46612,                0.32311,                0.24191,                0.09759,                 2.4179,                 3.5982,                 2.1551,             0.00069904,             0.00069904,             0.00069904
                      3,                 2.0748,                 2.3512,                  1.867,                 0.5951,                0.36141,                0.32321,                0.14494,                 2.1609,                 2.4208,                  1.921,             0.00069279,             0.00069279,             0.00069279
                      4,                 2.0083,                  2.334,                 1.8353,                0.50684,                0.37035,                0.31987,                0.13644,                 2.1172,                 2.2052,                 1.8996,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.9932,                 2.2146,                  1.797,                0.50983,                 0.3365,                0.26329,                 0.1164,                 2.6699,                  14.51,                 2.4515,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.9601,                 2.1879,                 1.7764,                 0.5612,                0.43709,                0.37308,                0.16593,                 2.0805,                 2.2413,                 1.8554,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.9277,                 2.1462,                 1.7525,                0.50927,                0.40651,                0.35283,                0.15709,                 2.0966,                  2.176,                 1.8736,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.8962,                 2.0353,                 1.7007,                0.75884,                0.25131,                0.29874,                0.13562,                 2.4697,                 4.0049,                 2.1775,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.8846,                 2.0342,                 1.7132,                 0.5329,                0.44841,                0.42292,                 0.1919,                 2.0375,                 1.9332,                 1.8401,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.8652,                 1.9885,                 1.6934,                0.41101,                0.43016,                0.33328,                0.14422,                 2.1607,                 2.1302,                 1.8655,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.8585,                 1.9929,                 1.6982,                0.46253,                0.52653,                0.46206,                0.20797,                  1.987,                 1.8606,                 1.7809,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.8586,                 1.9729,                 1.6968,                0.44229,                 0.4934,                0.47386,                0.22282,                 1.9511,                 1.7667,                 1.7601,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.8245,                 1.8951,                 1.6721,                0.45059,                0.44806,                0.40378,                0.19085,                 2.0677,                 2.2322,                  1.843,             0.00062918,             0.00062918,             0.00062918
